CustomerID,Recency,Frequency,Monetary,Cluster,Segment
CUST3587,11,7,35.73,0,Active/Engaged
CUST3588,219,7,207.81,1,At-Risk
CUST3589,361,8,23.64,1,At-Risk
CUST3590,21,10,43.31,0,Active/Engaged
CUST3591,132,10,126.47,0,Active/Engaged
CUST3592,201,7,637.66,2,High-Value/VIP
CUST3593,59,13,297.38,3,Frequent Buyers
CUST3594,138,9,272.65,0,Active/Engaged
CUST3595,306,10,26.34,1,At-Risk
CUST3596,63,10,429.0,0,Active/Engaged
CUST3597,208,11,28.47,3,Frequent Buyers
CUST3598,31,10,110.04,0,Active/Engaged
CUST3599,65,11,382.48,0,Active/Engaged
